X,Y,ENFORCEMENT_SPACE_CODE,SITE_CODE,ENFORCEMENT_TYPE,LOCATION_DESCRIPTION,SPEED_LIMIT,DEVICE_MOBILITY,CAMERA_STATUS,ACTIVE_STATUS,CAMERA_LATITUDE,CAMERA_LONGITUDE,CAMERA_EASTING,CAMERA_NORTHING,WARD,ANC,SMD,OBJECTID,GLOBALID
-8575664.63590641,4714922.99628632,ATE 0591,2403,Red Light,16TH ST S/B @ COLORADO AVE NW,30,,Live,Active,38.952871,-77.036506,396835.86242542,142774.2034776,4.0,4E,4E06,127731,{39A63775-CFE6-6356-E063-782F520A029D}
-8575216.46363909,4716215.54487638,ATE 0592,2405,Red Light,MILITARY RD W/B @ 14TH ST NW,30,,Live,Active,38.9619,-77.03248,397185.19092477,143776.37352562,4.0,4E,4E02,127732,{39A63775-CFE7-6356-E063-782F520A029D}
-8572551.92021994,4708452.56439766,ATE 0593,2507,Red Light,NEW YORK AVE SW/B @ N CAPITOL ST NE,25,,Live,Active,38.907655,-77.008544,399259.12616769,137754.23994203,5.0,5F,5F07,127733,{39A63775-CFE8-6356-E063-782F520A029D}
-8569708.93170822,4700722.38759815,ATE 0594,2801,Red Light,SUITLAND PKWY W/B @ STANTON RD SE,35,,Live,Active,38.853598,-76.983005,401475.35655021,131753.60369394,8.0,8B,8B03,127734,{39A63775-CFE9-6356-E063-782F520A029D}
-8575145.10780973,4707645.90991271,ATE 0595,2207,Red Light,14TH ST N/B @ K ST NW,25,,Live,Active,38.902016,-77.031839,397238.42681192,137128.71230263,2.0,2C,2C01,127735,{39A63775-CFEA-6356-E063-782F520A029D}
-8575171.93580411,4709840.14869711,ATE 0596,2222,Red Light,14TH ST S/B @ U ST NW,25,,Live,Active,38.917354,-77.03208,397218.12050583,138831.36309989,1.0,1B,1B07,127736,{39A63775-CFEB-6356-E063-782F520A029D}
-8568558.55615803,4709777.05302014,ATE 0597,2503,Red Light,BLADENSBURG RD N/B @ NY AVE NE,30,,Live,Active,38.916913,-76.972671,402370.24658594,138782.27424388,5.0,5C,5C04,127737,{39A63775-CFEC-6356-E063-782F520A029D}
-8567021.45662838,4701866.44962438,ATE 0598,2703,Red Light,BRANCH AVE N/B @ ALABAMA AVE SE,25,,Live,Active,38.861601,-76.958863,403570.48829777,132642.66123684,7.0,7B,7B06,127738,{39A63775-CFED-6356-E063-782F520A029D}
-8579726.68405028,4716046.89866696,ATE 0599,2310,Red Light,CONNECTICUT AVE N/B @ MILITARY NW,30,,Live,Active,38.960722,-77.072996,393673.62296883,143647.6333144,3.0,3/,3/4G07,127739,{39A63775-CFEE-6356-E063-782F520A029D}
-8578228.88030584,4712673.84737142,ATE 0600,2304,Red Light,CONNECTICUT AVE S/B @ PORTER ST NW,30,,Live,Active,38.937157,-77.059541,394838.06137658,141030.86004935,3.0,3C,3C05,127740,{39A63775-CFEF-6356-E063-782F520A029D}
-8564712.35642985,4705865.74612826,ATE 0601,2706,Red Light,E CAPITOL ST E/B @ TEXAS AVE SE,30,,Live,Active,38.88957,-76.93812,405368.67968779,135748.4455802,7.0,7E,7E07,127741,{39A63775-CFF0-6356-E063-782F520A029D}
-8564595.02567808,4705904.93321716,ATE 0602,2701,Red Light,E CAPITOL ST W/B @ BENNING RD NE,30,,Live,Active,38.889844,-76.937066,405460.10008098,135778.92421703,7.0,7F,7F04,127742,{39A63775-CFF1-6356-E063-782F520A029D}
-8574727.77107816,4716182.76036493,ATE 0603,2404,Red Light,GEORGIA AVE S/B @ MISSOURI AVE NW,30,,Live,Active,38.961671,-77.02809,397565.65812719,143750.82616916,4.0,4A,4A06,127743,{39A63775-CFF2-6356-E063-782F520A029D}
-8577452.20429673,4707731.30727191,ATE 0604,2211,Red Light,K ST W/B @ 25TH ST NW,25,,Live,Active,38.902613,-77.052564,395440.74974538,137195.81519111,2.0,2A,2A09,127744,{39A63775-CFF3-6356-E063-782F520A029D}
