Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult,2024,4/8/2024,18,5a853e0fb0c2aefbeb21b01dff0178372c6829e6,1712e36d3a1a01c374d9b0551080c1a3e4a7d200,24,408,4D,WHITE,HISPANIC,MALE,Release Violations,Bail Reform Act -misd,408,4D,397100,141000,38.937,-77.033,408,4D,397100,141000,38.937,-77.033
Adult,2024,4/8/2024,16,ff90b5e95876a32c863bd9931cd6ad1166347b30,7da53ce4a846895e36630c4187a205cd1915fceb,24,602,6D,BLACK,NOT HISPANIC,FEMALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",602,6D,404800,136900,38.9,-76.944,602,6D,404800,136900,38.9,-76.944
Adult,2024,4/8/2024,16,09b4b0fd51d8afe357f1716bcf51319a6480eec6,31993fd81fa3c3a6306332b50bded66f0e76b502,23,606,6D,BLACK,UNKNOWN,MALE,Property Crimes,Unauthorized Use Of A Vehicle - Crime Of Violence,305,3D,398100,138800,38.917,-77.022,501,5D,399200,138000,38.91,-77.009
Adult,2024,4/8/2024,7,fbfeb06a5a97f55e62eeb6b3f56173d8c204a4ec,f145a393e6d1e56a8ea7a2faae6b97dff9783413,23,602,6D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,502,5D,399500,138700,38.916,-77.005,502,5D,399500,138700,38.916,-77.005
Adult,2024,4/8/2024,16,46ab0c982695825b9231287777680bcfc40bec8c,9682041b69fc2293ba3addf1e958b6582163d080,21,,,WHITE,HISPANIC,MALE,Traffic Violations,Speeding and reckless driving,402,4D,397600,143900,38.963,-77.027,403,4D,397600,143400,38.958,-77.028
Adult,2024,4/8/2024,9,8f73de9be0fda8217489ad05eb60c1f50c3af181,a605271a1d87fc5bcb2c37a479c14bfab6affd21,21,608,6D,UNKNOWN,HISPANIC,MALE,Traffic Violations,No Permit,505,5D,400500,139100,38.92,-76.994,505,5D,400500,139100,38.92,-76.994
Adult,2024,4/8/2024,19,0433a6b74002e456ea3b7a2be0c478b7afc5fabf,ee4db3cb743ea13ba5856c2cdfc6c03df31f8824,21,604,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,702,7D,401800,132100,38.857,-76.979,702,7D,401800,132100,38.857,-76.979
Adult,2024,4/8/2024,21,a35b9b4b4c8bf5cb97e9ac9e7456114184d9b4e9,3ae49c192154a7d2f8b4a4d6dbccec6709b0e460,20,,,BLACK,NOT HISPANIC,MALE,Traffic Violations,Counterfeit Tags,701,7D,401900,133000,38.865,-76.978,701,7D,401900,133000,38.865,-76.978
Adult,2024,4/8/2024,16,09b4b0fd51d8afe357f1716bcf51319a6480eec6,ace93694555988259c0d0a28a6a5124b89f5a417,19,,,BLACK,NOT HISPANIC,FEMALE,Property Crimes,Unauthorized Use Of A Vehicle - Crime Of Violence,306,3D,398200,138900,38.918,-77.021,501,5D,399200,138000,38.91,-77.009
Adult,2024,4/9/2024,16,c2619417e769baa133ae60547949083e62a4b181,635c9eb05aed1e4f48a01a2308e7f06fe2fb7b51,65,708,7D,BLACK,NOT HISPANIC,MALE,Traffic Violations,No Permit,301,3D,396900,139000,38.919,-77.036,301,3D,396900,139000,38.919,-77.036
Adult,2024,4/9/2024,17,6373d98d81654a28ea523696d9ede6c374e86f4b,b113bb8ba1fcb6cbcc8e2c4b7593e5f4ce1594f6,59,607,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Possession Of Bb Gun,608,6D,406500,136600,38.897,-76.926,608,6D,406500,136600,38.897,-76.926
Adult,2024,4/9/2024,18,5f4fb4240c98850aabcd71839086a2051845fa16,d2eb4049e5c519c940c09e81b8b17a42a2226f17,56,,,BLACK,UNKNOWN,MALE,Theft,Theft Second Degree (theft From Building),302,3D,397100,140200,38.929,-77.033,302,3D,397100,140200,38.929,-77.033
Adult,2024,4/9/2024,17,4a681d54155309579dd54d72037327fa1de3de12,db339bd9aee9ed06e9aea7c1e5c671208c1483d6,55,604,6D,BLACK,UNKNOWN,FEMALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",602,6D,404700,136700,38.898,-76.946,602,6D,404800,136900,38.9,-76.944
Adult,2024,4/9/2024,17,192ae018ada6bc620a66d83808deeb58b4e551bc,fe8728b7c146fc8f61223b5c82a94740efa3af52,52,502,5D,BLACK,NOT HISPANIC,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,602,6D,404800,136900,38.9,-76.944,602,6D,404800,136900,38.9,-76.944
Adult,2024,4/9/2024,23,622ae74d188e6bcb99652492dfbcee58fcc1b733,a7fe7b027f2a1aaa8107a27234fbb46fdc1091b3,51,604,6D,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,704,7D,402000,131100,38.848,-76.977,704,7D,402000,131100,38.848,-76.977
Adult,2024,4/9/2024,16,dd5ed7eb25fdc649c0d3d4fe2b49d1382044055a,af5ca6e6f6e97a3b6fa7695d4fada5c758c28c37,51,,,BLACK,NOT HISPANIC,MALE,Narcotics,Poss Of A Controlled Substance -misd,,,398100,138600,38.916,-77.022,306,3D,398100,138600,38.916,-77.022
Adult,2024,4/9/2024,19,68852710869fe75fb3293c519ae147ce7db9f91e,1fb1e5859f92d434de9fd2b478164b27ef8c3116,51,308,3D,BLACK,NOT HISPANIC,MALE,Traffic Violations,No Permit,607,6D,401400,133300,38.867,-76.984,607,6D,401400,133300,38.867,-76.984
Adult,2024,4/9/2024,17,c8c8a8f0795415420bcfa6ecd4da593b4739c77b,e58c08ecb1cfc103e50868c48ca5e4533dc58579,50,,4D,BLACK,UNKNOWN,FEMALE,Release Violations,Parole Violation (Warrant),204,2D,393500,140800,38.935,-77.075,204,2D,393500,140800,38.935,-77.075
Adult,2024,4/9/2024,19,b0d36e99fd27de8cd8312209a33def68feb86529,4d8b2e299976d7d4a8cb3f4f7d2286300f2ca110,50,,,BLACK,UNKNOWN,MALE,Release Violations,Fugitive From Justice,101,1D,398700,137100,38.901,-77.015,101,1D,398700,137100,38.901,-77.015
Adult,2024,4/9/2024,19,885236f77825a7a373b682c853e0b4008df5de9b,a94e4b3a715a03e737ae45624c7b893f00da0b73,49,,,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,707,7D,399900,131000,38.846,-77.001,707,7D,399900,131000,38.846,-77.001
Adult,2024,4/9/2024,12,bec1060bd2a8a360deb89b0be7c1f3aa16e5ca63,1241fda90b0fbe1a17ce4b79cdd88fdc2bba30b9,49,,,BLACK,NOT HISPANIC,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,,,,,,,404,4D,397600,140900,38.936,-77.028
Adult,2024,4/9/2024,1,2d26fcd1cae873a9de340976a056bd4c5d78990c,6940f1da81dd87b51b314621ec7a377d012c936c,49,,,BLACK,UNKNOWN,MALE,Release Violations,Failure To Appear (USAO),506,5D,401100,138200,38.912,-76.988,506,5D,401100,138200,38.912,-76.988
Adult,2024,4/9/2024,9,d09b4598bc72ca8d3568a5c4bff079b3de4fe6d6,1087b41f77577d05658396fd70a3ec52b07cba0d,48,,,WHITE,UNKNOWN,MALE,Simple Assault,Simple Assault,703,7D,400500,132700,38.862,-76.994,703,7D,400500,132700,38.862,-76.994
Adult,2024,4/9/2024,8,2f7aa28bd22b66077e0e2e86c6d1b3c99b87bd34,ccc81ec48da4b9b2c74e128414d608b7478e4f7c,47,704,7D,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,704,7D,401100,131600,38.852,-76.987,704,7D,401100,131600,38.852,-76.987
